date,zone_id,activity,caught,buried,killed
2/14/17,0,sm,2,1,1
1/12/17,0,sk,1,0,0
12/15/19,0,sb,2,1,0
12/11/16,0,sm,1,2,0
12/31/13,0,sb,1,1,1
12/8/19,0,sk,1,1,1
1/22/20,1,sk,1,0,0
10/15/18,1,ft,1,0,0
11/21/13,1,ft,1,0,0
1/19/20,1,ft,1,0,0
11/24/13,1,ft,1,0,0
2/11/18,1,sk,1,0,0
2/21/16,1,sb,1,0,0
12/18/18,1,sk,1,0,0
3/7/19,1,sk,2,1,1
1/24/20,1,sk,1,0,0
1/22/16,1,sb,0,0,1
2/10/20,1,sk,2,0,0
1/25/16,1,sk,1,0,0
12/27/13,1,sk,1,0,0
12/31/14,1,ss,1,1,1
3/23/19,1,ft,4,0,0
2/15/20,2,sm,3,2,2
12/19/15,2,sk,1,0,0
11/21/15,2,sk,1,0,0
11/28/19,2,sk,1,0,0
1/2/14,2,sk,6,0,0
4/10/20,2,sm,1,1,1
3/7/19,2,vh,5,0,0
2/8/18,2,sb,1,0,0
3/19/16,2,sm,1,0,0
2/10/14,2,sk,2,1,1
3/21/16,2,ft,1,0,0
1/7/14,2,sk,4,0,1
5/31/15,2,sb,1,0,0
3/19/16,2,sk,2,0,0
3/5/15,2,sk,2,0,0
12/22/13,2,sk,1,0,0
1/22/16,3,sk,1,1,0
1/14/18,3,sk,1,0,0
2/5/16,3,sm,1,0,1
1/17/19,3,sm,1,1,0
2/15/14,3,sk,5,3,2
1/16/16,3,sk,2,0,0
2/11/20,3,sm,1,0,0
3/7/18,3,sk,1,0,0
12/14/18,3,sk,0,0,0
11/2/18,3,sk,1,0,0
1/1/15,4,sc,1,0,0
4/8/18,4,sk,2,0,1
11/24/18,4,sk,0,1,0
2/23/15,4,sk,1,1,1
5/3/15,4,sk,1,0,0
3/17/15,4,sk,1,0,0
1/11/19,4,sk,2,0,0
11/18/17,4,sb,1,0,0
1/21/19,4,sk,1,1,1
5/17/15,4,sk,2,0,0
3/9/19,5,**,0,2,1
3/8/19,5,**,0,1,0
2/19/18,5,sk,2,0,0
12/1/19,5,sk,1,0,0
2/10/14,5,sm,2,1,1
11/25/18,5,sk,0,0,0
1/21/16,5,sm,2,1,1
12/6/18,5,sk,3,0,0
2/16/19,5,sk,2,2,2
11/3/14,5,ft,2,0,0
12/18/14,5,sk,1,0,0
2/3/17,5,sk,1,0,0
12/12/16,5,sm,1,1,0
12/16/18,7,sm,2,0,0
3/31/20,7,sk,1,0,0
1/6/15,7,sk,1,0,1
11/25/15,7,sk,2,0,0
3/16/14,7,sk,1,0,0
1/21/19,7,sk,0,1,0
3/3/19,7,sk,1,1,1
3/24/20,7,sb,1,0,0
3/20/20,7,sb,2,0,0
1/21/18,7,sk,2,0,1
2/13/16,7,sk,2,0,0
1/2/16,7,sk,1,0,0
11/30/19,7,ss,2,0,0
1/3/19,7,ss,3,0,0
4/3/16,7,sk,2,0,0
2/19/19,7,sk,1,1,1
3/12/19,7,**,3,0,0
1/5/19,7,sk,6,1,1
1/18/20,7,ft,1,1,1
2/20/18,7,sb,2,1,0
3/4/14,8,sk,1,1,1
2/2/16,8,sm,2,1,1
3/5/14,8,sm,1,1,1