date, danger_below, danger_near, danger_above
2013-12-31,1,2,2
2013-12-30,1,2,2
2013-12-29,1,2,2
2013-12-28,1,2,2
2013-12-27,1,2,2
2013-12-26,1,2,2
2013-12-25,1,2,2
2013-12-24,1,2,2
2013-12-23,1,3,3
2014-12-31,2,2,2
2014-12-30,2,2,3
2014-12-29,2,3,3
2014-12-28,2,3,3
2014-12-27,2,2,2
2014-12-26,2,3,3
2014-12-25,3,3,3
2014-12-24,3,3,3
2014-12-23,3,3,4
2014-12-22,4,4,4
2014-12-21,3,4,3
2014-12-20,1,3,2
2014-12-19,1,2,2
2014-12-18,1,2,2
2014-12-17,1,2,2
2014-12-16,2,2,2
2014-12-15,2,2,2
2014-12-14,2,2,2
2014-12-13,1,3,1
2014-12-12,1,1,1
2014-12-11,1,1,1
2014-12-10,1,1,1
2014-12-09,1,1,1
2014-12-08,1,1,1
2014-12-07,1,1,1
2014-12-06,1,2,2
2014-12-05,1,2,2
2014-12-04,1,2,2
2014-12-03,1,2,2
2014-12-02,1,2,2
2014-12-01,1,2,2
2014-11-30,1,2,2
2014-11-29,2,2,2
2014-11-28,2,2,2
2014-11-27,2,2,3
2014-11-26,2,3,3
2014-11-25,2,3,3
2014-11-24,2,3,3
2014-11-23,2,3,3
2014-11-22,1,3,2
2014-11-21,1,2,2
2014-11-20,1,2,2
2014-11-19,1,2,2
2014-11-18,2,2,2
2014-09-04,2,2,2
2014-06-10,2,2,2
2014-04-27,2,2,2
2014-04-20,2,2,2
2014-04-19,1,2,2
2014-04-18,1,2,2
2014-04-17,1,2,2
2014-04-16,1,2,2
2014-04-15,1,2,3
2014-04-14,1,2,2
2014-04-13,1,2,2
2014-04-12,1,2,2
2014-04-11,1,2,2
2014-04-10,1,2,2
2014-04-09,1,2,2
2014-04-08,1,1,2
2014-04-07,1,2,2
2014-04-06,1,2,2
2014-04-05,1,2,2
2014-04-04,2,2,2
2014-04-03,2,2,3
2014-04-02,1,3,2
2014-04-01,1,2,2
2014-03-31,1,3,3
2014-03-30,2,3,2
2014-03-29,2,3,3
2014-03-28,2,3,3
2014-03-27,2,3,3
2014-03-26,1,2,2
2014-03-25,1,2,2
2014-03-24,1,2,2
2014-03-23,1,2,2
2014-03-22,1,2,2
2014-03-21,1,2,2
2014-03-20,1,2,2
2014-03-19,1,2,2
2014-03-18,1,2,2
2014-03-17,1,2,2
2014-03-16,1,2,2
2014-03-15,1,2,2
2014-03-14,1,2,2
2014-03-13,1,2,2
2014-03-12,2,2,2
2014-03-11,2,2,2
2014-03-10,2,2,2
2014-03-09,2,2,2
2014-03-08,3,3,3
2014-03-07,2,2,2
2014-03-06,2,2,2
2014-03-05,2,2,2
2014-03-04,2,2,2
2014-03-03,2,3,3
2014-03-02,3,3,3
2014-03-01,2,3,3
2014-02-28,2,3,3
2014-02-27,2,3,2
2014-02-26,2,2,2
2014-02-25,2,2,2
2014-02-24,2,3,3
2014-02-23,2,3,3
2014-02-22,2,3,3
2014-02-21,2,3,3
2014-02-20,2,3,3
2014-02-19,2,3,3
2014-02-18,3,3,3
2014-02-17,3,3,3
2014-02-16,3,3,3
2014-02-15,3,3,4
2014-02-14,3,3,4
2014-02-13,3,3,3
2014-02-12,3,4,3
2014-02-11,3,4,4
2014-02-10,3,4,4
2014-02-09,3,4,4
2014-02-08,3,4,4
2014-02-07,2,4,3
2014-02-06,2,3,3
2014-02-05,2,3,3
2014-02-04,3,3,3
2014-02-03,3,3,3
2014-02-02,3,3,3
2014-02-01,3,3,3
2014-01-31,3,3,4
2014-01-30,4,4,4
2014-01-29,2,4,2
2014-01-28,2,2,3
2014-01-27,1,2,2
2014-01-26,1,1,2
2014-01-25,1,2,2
2014-01-24,2,2,2
2014-01-23,2,2,2
2014-01-22,2,2,2
2014-01-21,2,2,3
2014-01-20,2,3,3
2014-01-19,3,3,3
2014-01-18,3,3,3
2014-01-17,3,3,3
2014-01-16,3,3,3
2014-01-15,3,3,3
2014-01-14,3,3,3
2014-01-13,3,3,3
2014-01-12,3,3,3
2014-01-11,3,3,3
2014-01-10,3,3,3
2014-01-09,2,3,3
2014-01-08,2,3,3
2014-01-07,2,3,3
2014-01-06,3,3,3
2014-01-05,3,3,3
2014-01-04,3,3,3
2014-01-03,2,3,3
2014-01-02,2,3,3
2014-01-01,2,3,3
2015-12-31,2,2,2
2015-12-30,2,2,2
2015-12-29,2,2,2
2015-12-28,2,2,2
2015-12-27,2,2,2
2015-12-26,2,2,3
2015-12-25,3,3,3
2015-12-24,3,3,3
2015-12-23,3,3,3
2015-12-22,3,3,3
2015-12-21,2,3,2
2015-12-20,1,2,2
2015-12-19,1,2,2
2015-12-18,1,2,2
2015-12-17,2,2,3
2015-12-16,2,3,3
2015-12-15,2,3,3
2015-12-14,1,3,2
2015-12-13,1,2,2
2015-12-12,1,2,2
2015-12-11,1,2,2
2015-12-10,1,2,2
2015-12-09,1,2,2
2015-12-08,1,2,2
2015-12-07,1,2,2
2015-12-06,1,2,2
2015-12-05,1,2,2
2015-12-04,1,2,2
2015-12-03,1,2,2
2015-12-02,1,2,2
2015-12-01,1,2,2
2015-11-30,1,2,2
2015-11-29,1,2,2
2015-11-28,1,2,2
2015-11-27,1,2,2
2015-11-26,1,2,2
2015-11-25,1,2,2
2015-11-24,1,2,2
2015-11-23,1,2,2
2015-11-22,1,2,2
2015-11-21,1,2,2
2015-11-20,1,2,2
2015-11-19,1,2,2
2015-11-18,1,3,3
2015-11-17,2,3,3
2015-11-16,1,3,2
2015-11-15,1,2,2
2015-11-14,1,2,2
2015-11-13,1,2,2
2015-04-22,0,0,0
2015-04-05,1,1,1
2015-04-04,2,1,2
2015-04-03,1,2,2
2015-04-02,1,2,1
2015-04-01,2,1,1
2015-03-31,2,1,1
2015-03-30,2,1,1
2015-03-29,2,1,1
2015-03-28,2,1,1
2015-03-27,1,2,2
2015-03-26,1,2,2
2015-03-25,1,2,2
2015-03-24,1,2,2
2015-03-23,2,2,2
2015-03-22,3,2,2
2015-03-21,3,2,2
2015-03-20,2,2,2
2015-03-19,2,2,2
2015-03-18,2,2,2
2015-03-17,2,2,2
2015-03-16,1,1,1
2015-03-15,1,1,2
2015-03-14,1,2,2
2015-03-13,1,2,2
2015-03-12,1,2,2
2015-03-11,2,2,2
2015-03-10,2,2,2
2015-03-09,2,2,2
2015-03-08,2,2,2
2015-03-07,2,2,3
2015-03-06,2,3,3
2015-03-05,2,3,3
2015-03-04,2,3,3
2015-03-03,2,3,3
2015-03-02,2,3,3
2015-03-01,2,3,3
2015-02-28,2,3,3
2015-02-27,2,3,3
2015-02-26,2,3,3
2015-02-25,2,3,3
2015-02-24,2,3,3
2015-02-23,3,3,3
2015-02-22,3,3,3
2015-02-21,2,4,3
2015-02-20,1,3,2
2015-02-19,1,2,2
2015-02-18,1,2,2
2015-02-17,2,2,2
2015-02-16,3,2,3
2015-02-15,1,3,2
2015-02-14,1,2,2
2015-02-13,1,2,2
2015-02-12,1,2,2
2015-02-11,1,2,2
2015-02-10,1,2,2
2015-02-09,1,2,2
2015-02-08,1,2,2
2015-02-07,2,2,3
2015-02-06,2,3,3
2015-02-05,2,3,3
2015-02-04,2,3,3
2015-02-03,2,3,2
2015-02-02,1,2,2
2015-02-01,1,2,2
2015-01-31,1,1,1
2015-01-30,1,1,1
2015-01-29,1,1,2
2015-01-28,1,2,2
2015-01-27,1,1,2
2015-01-26,1,2,2
2015-01-25,1,2,2
2015-01-24,1,2,2
2015-01-23,1,2,2
2015-01-22,1,2,2
2015-01-21,1,2,2
2015-01-20,1,2,2
2015-01-19,1,2,2
2015-01-18,1,2,2
2015-01-17,1,2,2
2015-01-16,1,2,2
2015-01-15,1,2,2
2015-01-14,1,2,2
2015-01-13,1,2,2
2015-01-12,1,2,2
2015-01-11,1,2,2
2015-01-10,2,2,2
2015-01-09,2,2,2
2015-01-08,2,2,2
2015-01-07,2,2,2
2015-01-06,2,2,2
2015-01-05,2,2,2
2015-01-04,2,2,3
2015-01-03,2,2,2
2015-01-02,2,2,2
2015-01-01,2,2,2
2016-12-31,1,2,2
2016-12-30,1,2,2
2016-12-29,1,2,2
2016-12-28,1,2,2
2016-12-27,1,2,2
2016-12-26,1,2,2
2016-12-25,1,2,2
2016-12-24,1,2,2
2016-12-23,1,2,2
2016-12-22,1,2,2
2016-12-21,2,2,2
2016-12-20,2,2,3
2016-12-19,2,3,3
2016-12-18,3,2,3
2016-12-17,3,3,4
2016-12-16,3,3,3
2016-12-15,2,4,3
2016-12-14,2,3,3
2016-12-13,2,3,3
2016-12-12,2,3,4
2016-12-11,1,4,4
2016-12-10,1,4,3
2016-12-09,1,3,3
2016-12-08,1,3,2
2016-12-07,1,3,3
2016-12-06,1,2,2
2016-12-05,1,2,2
2016-12-04,1,2,2
2016-12-03,1,2,2
2016-12-02,1,2,2
2016-12-01,1,2,2
2016-11-30,1,2,3
2016-11-29,1,3,3
2016-11-28,1,3,3
2016-11-27,1,3,2
2016-11-26,1,2,2
2016-11-25,1,2,2
2016-11-24,1,2,2
2016-11-23,1,2,2
2016-11-20,2,2,2
2016-04-20,2,2,2
2016-04-19,2,2,2
2016-04-18,2,2,2
2016-04-17,2,3,3
2016-04-16,2,3,3
2016-04-15,1,3,1
2016-04-14,2,2,1
2016-04-13,2,1,1
2016-04-12,2,1,1
2016-04-11,2,1,1
2016-04-10,2,1,1
2016-04-09,2,1,1
2016-04-08,1,1,1
2016-04-07,1,1,2
2016-04-06,2,2,2
2016-04-05,2,2,2
2016-04-04,1,2,2
2016-04-03,1,2,2
2016-04-02,1,2,2
2016-04-01,1,2,2
2016-03-31,2,2,3
2016-03-30,2,3,3
2016-03-29,1,3,2
2016-03-28,1,2,2
2016-03-27,2,2,2
2016-03-26,2,3,3
2016-03-25,2,3,3
2016-03-24,2,3,3
2016-03-23,2,3,3
2016-03-22,2,3,2
2016-03-21,2,2,2
2016-03-20,2,3,3
2016-03-19,2,2,3
2016-03-18,2,3,3
2016-03-17,2,3,3
2016-03-16,3,3,3
2016-03-15,3,3,3
2016-03-14,1,2,2
2016-03-13,1,2,2
2016-03-12,1,2,1
2016-03-11,2,2,2
2016-03-10,2,2,2
2016-03-09,1,2,2
2016-03-08,1,2,2
2016-03-07,1,1,1
2016-03-06,1,2,1
2016-03-05,1,1,1
2016-03-04,1,1,2
2016-03-03,1,2,2
2016-03-02,1,1,1
2016-03-01,1,1,1
2016-02-29,1,1,1
2016-02-28,1,1,1
2016-02-27,1,1,1
2016-02-26,1,2,2
2016-02-25,1,2,2
2016-02-24,2,2,2
2016-02-23,1,2,2
2016-02-22,1,1,1
2016-02-21,1,1,2
2016-02-20,1,2,2
2016-02-19,1,2,2
2016-02-18,1,2,2
2016-02-17,2,2,2
2016-02-16,1,2,2
2016-02-15,1,2,2
2016-02-14,1,2,2
2016-02-13,1,2,2
2016-02-12,1,2,2
2016-02-11,2,2,2
2016-02-10,2,2,2
2016-02-09,2,2,2
2016-02-08,2,2,2
2016-02-07,2,2,3
2016-02-06,2,3,3
2016-02-05,3,3,3
2016-02-04,3,3,3
2016-02-03,3,3,3
2016-02-02,3,3,3
2016-02-01,3,3,3
2016-01-31,3,4,3
2016-01-30,1,4,2
2016-01-29,1,3,2
2016-01-28,1,2,2
2016-01-27,1,2,2
2016-01-26,1,2,2
2016-01-25,1,2,2
2016-01-24,1,2,2
2016-01-23,1,2,2
2016-01-22,2,2,2
2016-01-21,2,2,3
2016-01-20,2,3,3
2016-01-19,2,3,3
2016-01-18,2,3,3
2016-01-17,2,2,3
2016-01-16,1,2,2
2016-01-15,1,2,2
2016-01-14,1,1,1
2016-01-13,1,1,2
2016-01-12,1,2,2
2016-01-11,1,1,1
2016-01-10,1,1,1
2016-01-09,1,1,2
2016-01-08,1,2,2
2016-01-07,1,2,2
2016-01-06,1,2,2
2016-01-05,1,2,2
2016-01-04,1,2,2
2016-01-03,1,2,2
2016-01-02,1,2,2
2016-01-01,1,2,2
2017-12-31,2,2,2
2017-12-30,2,2,3
2017-12-29,2,3,3
2017-12-28,3,3,3
2017-12-27,3,3,3
2017-12-26,3,3,4
2017-12-25,2,3,3
2017-12-24,3,3,3
2017-12-23,3,3,4
2017-12-22,2,3,2
2017-12-21,2,2,2
2017-12-20,1,2,1
2017-12-19,1,1,2
2017-12-18,1,2,2
2017-12-17,1,2,2
2017-12-16,1,1,2
2017-12-15,1,1,2
2017-12-14,1,2,2
2017-12-13,1,1,1
2017-12-12,1,1,1
2017-12-11,1,1,1
2017-12-10,1,1,1
2017-12-09,1,1,1
2017-12-08,1,1,2
2017-12-07,1,2,2
2017-12-06,1,1,2
2017-12-05,1,2,2
2017-12-04,1,2,2
2017-12-03,1,2,1
2017-12-02,1,1,1
2017-12-01,1,1,1
2017-11-30,1,2,2
2017-11-29,1,2,2
2017-11-28,1,2,2
2017-11-27,1,2,2
2017-11-26,1,2,2
2017-11-25,1,2,2
2017-11-24,1,2,2
2017-11-23,1,2,2
2017-11-22,1,2,2
2017-11-21,1,2,2
2017-07-12,0,0,0
2017-05-18,0,0,0
2017-04-16,1,1,1
2017-04-15,1,1,1
2017-04-14,2,2,2
2017-04-13,1,2,2
2017-04-12,1,2,2
2017-04-11,1,2,2
2017-04-10,1,2,2
2017-04-09,1,2,2
2017-04-08,1,2,1
2017-04-07,2,1,2
2017-04-06,2,2,2
2017-04-05,2,2,3
2017-04-04,2,2,2
2017-04-03,1,2,2
2017-04-02,1,1,1
2017-04-01,1,1,2
2017-03-31,1,3,2
2017-03-30,1,2,2
2017-03-29,2,1,2
2017-03-28,1,3,2
2017-03-27,1,3,1
2017-03-26,1,1,1
2017-03-25,1,1,1
2017-03-24,1,2,2
2017-03-23,2,2,1
2017-03-22,2,1,2
2017-03-21,2,2,2
2017-03-20,2,2,2
2017-03-19,2,2,2
2017-03-18,2,2,2
2017-03-17,2,2,2
2017-03-16,2,2,1
2017-03-15,2,2,1
2017-03-14,2,2,1
2017-03-13,1,1,1
2017-03-12,1,1,2
2017-03-11,1,2,2
2017-03-10,1,2,2
2017-03-09,1,2,2
2017-03-08,1,2,2
2017-03-07,2,2,2
2017-03-06,1,2,2
2017-03-05,1,2,2
2017-03-04,2,2,2
2017-03-03,2,2,2
2017-03-02,2,2,2
2017-03-01,2,2,2
2017-02-28,2,2,2
2017-02-27,2,3,2
2017-02-26,2,2,2
2017-02-25,2,2,2
2017-02-24,2,2,3
2017-02-23,1,3,2
2017-02-22,1,2,2
2017-02-21,1,2,2
2017-02-20,1,2,2
2017-02-19,1,2,2
2017-02-18,1,2,2
2017-02-17,1,2,2
2017-02-16,1,2,2
2017-02-15,2,2,2
2017-02-14,1,2,2
2017-02-13,1,2,2
2017-02-12,2,2,2
2017-02-11,2,2,2
2017-02-10,3,2,2
2017-02-09,2,2,3
2017-02-08,3,3,3
2017-02-07,2,3,3
2017-02-06,1,3,2
2017-02-05,1,2,2
2017-02-04,1,2,2
2017-02-03,1,2,2
2017-02-02,2,2,2
2017-02-01,2,2,2
2017-01-31,2,2,2
2017-01-30,2,2,2
2017-01-29,2,2,2
2017-01-28,2,2,2
2017-01-27,2,2,2
2017-01-26,2,2,2
2017-01-25,2,2,2
2017-01-24,3,3,3
2017-01-23,3,3,3
2017-01-22,2,3,3
2017-01-21,2,2,2
2017-01-20,2,2,2
2017-01-19,1,2,2
2017-01-18,1,2,2
2017-01-17,2,2,2
2017-01-16,2,2,2
2017-01-15,2,2,2
2017-01-14,2,2,2
2017-01-13,2,2,3
2017-01-12,3,3,3
2017-01-11,3,3,4
2017-01-10,3,4,4
2017-01-09,2,4,3
2017-01-08,2,3,2
2017-01-07,2,2,3
2017-01-06,2,2,3
2017-01-05,3,3,4
2017-01-04,3,4,3
2017-01-03,2,4,2
2017-01-02,1,2,2
2017-01-01,1,2,2
2018-12-31,1,2,2
2018-12-30,1,2,2
2018-12-29,1,2,2
2018-12-28,1,2,2
2018-12-27,1,2,2
2018-12-26,1,2,2
2018-12-25,2,2,2
2018-12-24,2,2,2
2018-12-23,2,2,2
2018-12-22,2,2,2
2018-12-21,2,3,2
2018-12-20,2,2,3
2018-12-19,1,2,2
2018-12-18,1,2,2
2018-12-17,1,2,2
2018-12-16,1,2,2
2018-12-15,1,2,2
2018-12-14,1,2,2
2018-12-13,1,2,2
2018-12-12,1,2,2
2018-12-11,1,2,2
2018-12-10,1,2,2
2018-12-09,1,2,2
2018-12-08,1,2,2
2018-12-07,1,2,2
2018-12-06,2,2,2
2018-12-05,2,2,2
2018-12-04,2,2,2
2018-12-03,2,2,2
2018-12-02,2,2,2
2018-12-01,2,2,2
2018-11-30,2,2,2
2018-11-29,2,3,2
2018-11-28,2,2,2
2018-11-27,2,2,2
2018-11-26,2,2,3
2018-11-25,2,3,3
2018-11-24,3,3,3
2018-11-23,1,4,2
2018-11-22,1,2,2
2018-11-21,1,2,2
2018-11-20,1,1,2
2018-11-19,1,2,2
2018-11-18,1,2,2
2018-11-17,1,2,2
2018-11-16,1,2,2
2018-11-15,1,2,2
2018-10-30,0,0,0
2018-10-16,5,2,3
2018-06-14,1,4,3
2018-04-22,2,1,2
2018-04-21,1,2,2
2018-04-20,1,3,2
2018-04-19,1,1,1
2018-04-18,1,1,2
2018-04-17,1,2,2
2018-04-16,1,2,2
2018-04-15,1,2,2
2018-04-14,1,2,2
2018-04-13,1,2,2
2018-04-12,2,2,2
2018-04-11,3,2,2
2018-04-10,2,2,2
2018-04-09,3,2,3
2018-04-08,3,3,3
2018-04-07,3,4,3
2018-04-06,2,2,2
2018-04-05,1,2,1
2018-04-04,1,1,1
2018-04-03,1,1,1
2018-04-02,1,1,1
2018-04-01,1,1,2
2018-03-31,1,1,2
2018-03-30,2,1,2
2018-03-29,1,1,2
2018-03-28,1,1,2
2018-03-27,1,1,2
2018-03-26,1,2,2
2018-03-25,2,1,2
2018-03-24,2,2,2
2018-03-23,2,2,2
2018-03-22,2,2,2
2018-03-21,2,2,2
2018-03-20,2,2,2
2018-03-19,2,2,3
2018-03-18,1,3,1
2018-03-17,2,2,2
2018-03-16,2,2,3
2018-03-15,2,2,1
2018-03-14,2,1,1
2018-03-13,1,1,1
2018-03-12,1,2,2
2018-03-11,1,2,2
2018-03-10,1,1,1
2018-03-09,1,2,1
2018-03-08,1,1,1
2018-03-07,1,1,1
2018-03-06,1,1,2
2018-03-05,1,2,2
2018-03-04,1,2,2
2018-03-03,1,2,2
2018-03-02,1,2,2
2018-03-01,1,2,2
2018-02-28,1,2,2
2018-02-27,2,2,2
2018-02-26,2,2,2
2018-02-25,2,2,2
2018-02-24,2,2,2
2018-02-23,2,2,2
2018-02-22,2,2,2
2018-02-21,2,2,2
2018-02-20,2,3,3
2018-02-19,2,3,2
2018-02-18,2,3,2
2018-02-17,2,2,3
2018-02-16,3,3,3
2018-02-15,3,3,4
2018-02-14,2,4,2
2018-02-13,2,2,2
2018-02-12,2,2,2
2018-02-11,2,2,2
2018-02-10,3,3,3
2018-02-09,1,3,2
2018-02-08,2,2,2
2018-02-07,2,2,2
2018-02-06,3,2,3
2018-02-05,2,2,2
2018-02-04,1,2,2
2018-02-03,1,2,2
2018-02-02,1,2,2
2018-02-01,1,2,2
2018-01-31,1,2,2
2018-01-30,2,2,2
2018-01-29,2,2,2
2018-01-28,2,2,2
2018-01-27,2,2,2
2018-01-26,2,2,2
2018-01-25,2,2,2
2018-01-24,2,2,2
2018-01-23,2,2,2
2018-01-22,3,2,3
2018-01-21,3,3,3
2018-01-20,1,3,2
2018-01-19,1,2,2
2018-01-18,2,2,2
2018-01-17,2,2,2
2018-01-16,2,2,2
2018-01-15,2,2,2
2018-01-14,2,2,3
2018-01-13,2,3,3
2018-01-12,2,2,3
2018-01-11,2,2,3
2018-01-10,1,2,2
2018-01-09,1,2,2
2018-01-08,2,2,2
2018-01-07,2,2,2
2018-01-06,1,2,1
2018-01-05,1,1,1
2018-01-04,1,1,1
2018-01-03,2,1,2
2018-01-02,2,2,2
2018-01-01,2,2,2
2019-12-31,1,2,2
2019-12-30,1,2,2
2019-12-29,1,2,2
2019-12-28,1,2,2
2019-12-27,1,2,2
2019-12-26,1,2,2
2019-12-25,1,2,2
2019-12-24,1,2,2
2019-12-23,1,2,2
2019-12-22,2,2,2
2019-12-21,2,2,2
2019-12-20,2,2,2
2019-12-19,2,2,2
2019-12-18,2,2,2
2019-12-17,3,2,3
2019-12-16,3,3,3
2019-12-15,3,3,3
2019-12-14,3,3,4
2019-12-13,3,4,3
2019-12-12,2,3,2
2019-12-11,2,2,3
2019-12-10,2,2,3
2019-12-09,2,2,3
2019-12-08,1,2,2
2019-12-07,1,2,2
2019-12-06,1,2,2
2019-12-05,1,2,2
2019-12-04,1,2,2
2019-12-03,1,2,2
2019-12-02,1,2,2
2019-12-01,1,2,2
2019-11-30,1,2,2
2019-11-29,1,2,2
2019-11-28,1,2,2
2019-11-27,1,3,3
2019-11-26,1,3,3
2019-11-25,1,3,2
2019-11-24,1,2,2
2019-11-07,1,2,1
2019-11-06,1,2,3
2019-11-05,1,0,1
2019-07-11,0,0,0
2019-05-02,2,2,2
2019-05-01,2,2,2
2019-04-30,2,3,3
2019-04-29,1,3,2
2019-04-28,2,3,2
2019-04-27,2,2,2
2019-04-26,2,2,2
2019-04-25,2,2,2
2019-04-24,1,1,1
2019-04-23,1,1,1
2019-04-22,1,1,1
2019-04-21,1,1,1
2019-04-20,2,1,1
2019-04-19,1,1,1
2019-04-18,1,1,1
2019-04-17,1,1,1
2019-04-16,2,1,1
2019-04-15,2,1,2
2019-04-14,1,2,1
2019-04-13,1,1,2
2019-04-12,1,2,2
2019-04-11,2,2,3
2019-04-10,2,3,3
2019-04-09,2,3,1
2019-04-08,2,1,1
2019-04-07,1,1,1
2019-04-06,1,1,1
2019-04-05,1,1,1
2019-04-04,1,1,2
2019-04-03,1,1,2
2019-04-02,1,2,1
2019-04-01,1,1,1
2019-03-31,1,1,1
2019-03-30,1,1,1
2019-03-29,1,2,1
2019-03-28,2,1,1
2019-03-27,2,1,1
2019-03-26,2,1,1
2019-03-25,1,2,1
2019-03-24,1,1,1
2019-03-23,1,2,2
2019-03-22,1,2,2
2019-03-21,1,2,2
2019-03-20,2,2,2
2019-03-19,2,2,2
2019-03-18,2,2,2
2019-03-17,2,2,2
2019-03-16,2,2,3
2019-03-15,3,3,3
2019-03-14,4,3,4
2019-03-13,4,3,4
2019-03-12,3,4,3
2019-03-11,3,3,3
2019-03-10,3,3,3
2019-03-09,3,3,4
2019-03-08,3,3,4
2019-03-07,3,4,4
2019-03-06,2,3,3
2019-03-05,2,3,3
2019-03-04,3,3,4
2019-03-03,3,3,4
2019-03-02,3,4,3
2019-03-01,2,3,3
2019-02-28,1,3,2
2019-02-27,1,2,2
2019-02-26,1,2,2
2019-02-25,1,2,2
2019-02-24,2,2,2
2019-02-23,2,2,2
2019-02-22,1,2,2
2019-02-21,1,3,2
2019-02-20,1,2,2
2019-02-19,1,2,2
2019-02-18,2,2,2
2019-02-17,2,2,2
2019-02-16,2,2,3
2019-02-15,2,3,3
2019-02-14,2,3,3
2019-02-13,1,3,2
2019-02-12,1,2,2
2019-02-11,1,2,2
2019-02-10,1,2,2
2019-02-09,1,2,2
2019-02-08,2,2,2
2019-02-07,2,2,3
2019-02-06,1,2,2
2019-02-05,1,2,2
2019-02-04,1,2,2
2019-02-03,1,2,2
2019-02-02,1,2,2
2019-02-01,1,2,2
2019-01-31,2,2,2
2019-01-30,2,2,2
2019-01-29,2,2,2
2019-01-28,2,2,2
2019-01-27,2,2,2
2019-01-26,2,2,2
2019-01-25,2,2,3
2019-01-24,2,2,3
2019-01-23,2,3,2
2019-01-22,2,3,3
2019-01-21,2,3,2
2019-01-20,2,2,3
2019-01-19,3,3,3
2019-01-18,2,3,3
2019-01-17,2,3,2
2019-01-16,1,2,2
2019-01-15,1,2,2
2019-01-14,1,2,2
2019-01-13,1,2,2
2019-01-12,2,2,2
2019-01-11,2,2,2
2019-01-10,1,2,2
2019-01-09,2,2,2
2019-01-08,2,2,2
2019-01-07,2,2,2
2019-01-06,1,2,2
2019-01-05,1,2,2
2019-01-04,1,2,2
2019-01-03,1,2,2
2019-01-02,1,2,2
2019-01-01,1,2,2
2020-08-14,0,0,0
2020-06-03,0,0,0
2020-05-30,0,0,0
2020-04-12,1,2,2
2020-04-11,2,3,2
2020-04-10,2,2,2
2020-04-09,2,2,2
2020-04-08,2,2,2
2020-04-07,2,2,2
2020-04-06,2,1,1
2020-04-05,1,1,1
2020-04-04,2,2,2
2020-04-03,1,2,2
2020-04-02,1,2,2
2020-04-01,1,1,2
2020-03-31,1,2,2
2020-03-30,1,2,2
2020-03-29,1,2,2
2020-03-28,1,2,3
2020-03-27,1,2,2
2020-03-26,1,2,2
2020-03-25,1,1,2
2020-03-24,1,2,2
2020-03-23,1,2,2
2020-03-22,2,2,2
2020-03-21,2,2,2
2020-03-20,3,2,3
2020-03-19,3,3,3
2020-03-18,1,3,1
2020-03-17,2,1,1
2020-03-16,2,1,2
2020-03-15,1,1,2
2020-03-14,1,2,2
2020-03-13,1,2,2
2020-03-12,2,2,2
2020-03-11,1,2,2
2020-03-10,2,1,1
2020-03-09,1,1,1
2020-03-08,1,1,1
2020-03-07,1,1,2
2020-03-06,1,2,2
2020-03-05,1,2,2
2020-03-04,1,2,2
2020-03-03,1,2,2
2020-03-02,1,2,2
2020-03-01,1,2,2
2020-02-29,1,2,2
2020-02-28,1,2,2
2020-02-27,2,2,2
2020-02-26,2,2,2
2020-02-25,2,2,3
2020-02-24,2,3,3
2020-02-23,2,3,2
2020-02-22,2,2,2
2020-02-21,2,2,2
2020-02-20,2,2,2
2020-02-19,2,2,2
2020-02-18,2,2,3
2020-02-17,3,3,3
2020-02-16,2,3,3
2020-02-15,2,3,2
2020-02-14,2,2,2
2020-02-13,2,2,2
2020-02-12,2,3,3
2020-02-11,2,2,2
2020-02-10,3,2,3
2020-02-09,3,3,3
2020-02-08,4,3,4
2020-02-07,4,3,4
2020-02-06,3,4,3
2020-02-05,2,4,2
2020-02-04,2,2,2
2020-02-03,1,2,2
2020-02-02,1,2,2
2020-02-01,2,2,2
2020-01-31,2,2,2
2020-01-30,2,2,2
2020-01-29,2,2,2
2020-01-28,2,2,2
2020-01-27,2,2,2
2020-01-26,2,2,2
2020-01-25,2,2,2
2020-01-24,2,2,3
2020-01-23,2,2,3
2020-01-22,1,2,2
2020-01-21,1,2,2
2020-01-20,1,2,2
2020-01-19,1,2,2
2020-01-18,1,2,2
2020-01-17,1,2,2
2020-01-16,1,2,2
2020-01-15,1,2,2
2020-01-14,1,2,2
2020-01-13,2,2,3
2020-01-12,1,3,2
2020-01-11,1,2,2
2020-01-10,1,2,2
2020-01-09,1,2,2
2020-01-08,1,2,2
2020-01-07,1,2,2
2020-01-06,1,2,2
2020-01-05,2,2,2
2020-01-04,2,2,2
2020-01-03,2,2,3
2020-01-02,2,3,3
2020-01-01,1,3,2
